LATITUDE,LONGITUDE,OFFENSE,Count
38.93628167,-77.06695522,THEFT F/AUTO,1
38.93345945,-77.02973363,THEFT/OTHER,11
38.86225194,-76.99319044,THEFT F/AUTO,7
38.89611419,-76.98927936,THEFT F/AUTO,4
38.83451514,-76.99818022,THEFT F/AUTO,1
38.91038166,-77.02294444,THEFT/OTHER,10
38.90020034,-77.03110315,THEFT/OTHER,3
38.85995765,-76.96150591,MOTOR VEHICLE THEFT,1
38.90856374,-77.01067639,ASSAULT W/DANGEROUS WEAPON,5
38.88268255,-76.93398253,THEFT F/AUTO,2
38.89185789,-76.92693112,ROBBERY,1
38.90395736,-77.05427775,BURGLARY,2
38.87377388,-77.00130221,THEFT/OTHER,2
38.90048017,-77.02885526,THEFT F/AUTO,4
38.8744106,-76.97403629,THEFT F/AUTO,1
38.85407819,-76.97222341,BURGLARY,2
38.94636166,-77.01837635,THEFT F/AUTO,2
38.98238408,-77.02655704,THEFT F/AUTO,2
38.87062566,-76.94424956,THEFT F/AUTO,3
38.88253865,-76.99024954,THEFT/OTHER,50
38.90396705,-76.94720947,ROBBERY,10
38.91259855,-77.01814858,THEFT F/AUTO,3
38.90020399,-77.01062902,THEFT/OTHER,51
38.8332089,-76.99751224,THEFT F/AUTO,3
38.88566141,-76.94582838,THEFT F/AUTO,1
38.90643513,-77.02704758,THEFT/OTHER,5
38.90314347,-77.03967026,THEFT/OTHER,46
38.91539118,-76.98209285,THEFT F/AUTO,13
38.86225194,-76.99319044,THEFT/OTHER,6
38.90910227,-77.02397017,THEFT F/AUTO,7
38.92014854,-76.99031358,THEFT F/AUTO,11
38.91556679,-77.03719807,BURGLARY,1
38.8847172,-76.97900013,MOTOR VEHICLE THEFT,1
38.90620223,-76.97944344,THEFT/OTHER,10
38.93062973,-77.03381518,BURGLARY,1
38.90312206,-77.01617476,THEFT F/AUTO,22
38.95254278,-76.99904245,THEFT/OTHER,5
38.93161415,-77.02360867,THEFT F/AUTO,10
38.92660504,-77.02590198,THEFT/OTHER,4
38.90606767,-76.98291376,THEFT F/AUTO,3
38.88476372,-76.99024923,THEFT F/AUTO,2
38.84042457,-77.00559803,MOTOR VEHICLE THEFT,1
38.95621294,-77.03492336,THEFT F/AUTO,2
38.97797892,-77.02715552,THEFT F/AUTO,3
38.93723545,-76.97698924,THEFT F/AUTO,2
38.91713721,-76.96513406,THEFT F/AUTO,2
38.89980595,-77.0224338,THEFT/OTHER,6
38.94255144,-76.98350484,THEFT F/AUTO,1
38.91319127,-77.02754595,THEFT F/AUTO,7
38.91579617,-76.97976354,THEFT/OTHER,2
38.94344438,-77.00326447,MOTOR VEHICLE THEFT,1
38.90563627,-77.00748239,THEFT/OTHER,21
38.90132148,-77.00281293,THEFT/OTHER,6
38.87927789,-77.00553193,THEFT F/AUTO,2
38.90563519,-77.01755882,THEFT F/AUTO,6
38.97205217,-77.06926218,THEFT F/AUTO,1
38.93088675,-76.99497153,THEFT F/AUTO,1
38.94085111,-77.06293387,THEFT F/AUTO,3
38.89147523,-76.99436339,THEFT/OTHER,1
38.85174426,-76.96924053,ASSAULT W/DANGEROUS WEAPON,1
38.86798006,-76.98173601,THEFT F/AUTO,1
38.9128414,-77.02046623,THEFT/OTHER,1
38.93278307,-76.99709898,THEFT F/AUTO,4
38.92857843,-77.02316942,THEFT F/AUTO,2
38.90768687,-77.07098674,THEFT/OTHER,16
38.95348538,-77.02765381,THEFT F/AUTO,3
38.93401516,-77.08864798,THEFT F/AUTO,1
38.86189771,-76.97309604,THEFT/OTHER,2
38.90347613,-76.92295332,THEFT/OTHER,62
38.9340124,-76.99111906,THEFT/OTHER,9
38.9817445,-77.02654526,THEFT F/AUTO,1
38.96445088,-77.06638168,THEFT F/AUTO,2
38.90069847,-77.04947949,THEFT/OTHER,19
38.90373216,-77.05426605,THEFT F/AUTO,6
38.90837402,-76.98445817,THEFT F/AUTO,3
